	file_spec 2MASS_2MASS.H.dat	2MASS_2MASS.J.dat	2MASS_2MASS.Ks.dat	F378.dat	F395.dat	F410.dat	F430.dat	F515.dat	F660.dat	F861.dat	G.dat	I.dat	R.dat	U.dat	Z.dat	GAIA_GAIA2.G.dat	GAIA_GAIA2.Gbp.dat	GAIA_GAIA2.Grp.dat	GALEX_GALEX.FUV.dat	GALEX_GALEX.NUV.dat	WISE_WISE.W1.dat	WISE_WISE.W2.dat	WISE_WISE.W3.dat	WISE_WISE.W4.dat
Ech1.30Zm0.25T11.5000_iTp0.00_baseFe.txt	31.56729573980605	31.76285542128098	31.834423368860108	34.794896044330464	34.60838848661023	34.006553823444015	33.84315640463915	33.14659923300308	32.52838887817091	32.13595921963984	33.34579801930246	32.24569074791729	32.62555356611761	35.04333740283905	32.11656037722653	32.59496336794651	33.108571068173056	32.24731508015528	35.522097476345174	36.00773917620118	32.55068079920179	33.25167556150888	32.23525842269567	32.82806156991959
Ech1.30Zm0.25T12.0000_iTp0.00_baseFe.txt	31.60158853492998	31.799718652988297	31.866755047102437	34.844799956517726	34.65864092901737	34.051706890721626	33.887447311323065	33.18724397066929	32.56575641532148	32.17142755999284	33.38684274926916	32.280743765543725	32.66360204989709	35.09144947245145	32.152460188537596	32.632097576950706	33.148198588344336	32.28339209082636	35.555838324511846	36.04362793770024	32.58152564443669	33.28020158601547	32.262951718311164	32.861998650555925
Ech1.30Zm0.25T12.5000_iTp0.00_baseFe.txt	31.636674461863485	31.836687794476838	31.89907235783891	34.89343029744348	34.707284093007836	34.09597647881555	33.93083041310248	33.22686079173358	32.601903016456056	32.20597687002347	33.4270191238867	32.31617946057268	32.700522665931466	35.1393449437246	32.187192672285285	32.66882366448555	33.18680432447993	32.319352726051214	35.58741405798252	36.0765693078227	32.608476259681886	33.302456407677845	32.28274458487882	32.893928851814856
Ech1.30Zm0.25T13.0000_iTp0.00_baseFe.txt	31.669058375081327	31.87067089409188	31.930600686411474	34.94429528185494	34.757228422560864	34.14146347132692	33.975038626143906	33.26577814401775	32.63674782667416	32.23976179059735	33.46684905230362	32.34910564978805	32.73610573402518	35.189984421173726	32.22146125828862	32.70387239431721	33.22462058896222	32.35315152237603	35.62130741510605	36.11342624395146	32.641979029563196	33.33686084716327	32.317796571641516	32.92792145539743
Ech1.30Zm0.25T13.5000_iTp0.00_baseFe.txt	31.699273540265814	31.901091499381074	31.961792266168423	34.987734030906346	34.800650496764966	34.181988703430186	34.01539807040725	33.303452802275906	32.67145556833655	32.27286463619057	33.50463793854632	32.38336244696614	32.7715713458586	35.23322567813634	32.25364956329252	32.73861048356033	33.261258335076725	32.386760596490724	35.65440475940516	36.146646312853754	32.67514077424129	33.37287189445299	32.357699227272086	32.96120974405239
Ech1.30Zm0.25T14.0000_iTp0.00_baseFe.txt	31.73007592427708	31.932437817779153	31.99245580549168	35.03208378736638	34.8428714587344	34.22258227324733	34.056099377460434	33.340749891669766	32.70579187429397	32.30528988518778	33.541743889667764	32.41700970787016	32.8062672716025	35.2773780010829	32.285320317101586	32.772838353650734	33.29715060969286	32.42015318597682	35.6856793743388	36.18178921113229	32.70460222938686	33.40142510046376	32.38438259379564	32.99206870192523
Ech1.30Zm0.35T00.0300_iTp0.00_baseFe.txt	inf	inf	inf	28.656734710789728	28.434779755769817	28.34608371333129	28.355295302241082	28.29074170015698	28.102497501210614	27.875925630771995	28.291838997923158	27.972154808972014	28.109749083527497	28.7794299088442	28.863974125614867	28.180353895680575	28.261059625165267	28.136361338706003	28.717870094158833	28.6521056065288	39.85840661731162	35.86190988944278	36.369372315493955	29.374720773313477
Ech1.30Zm0.35T00.0400_iTp0.00_baseFe.txt	inf	inf	inf	28.81465995314064	28.570016583178848	28.461441581917633	28.47135163355096	28.41661478017189	28.30600266413598	28.158739871364496	28.41694905046848	28.21489522475411	28.29374318681476	29.013745597922544	29.14622893632569	28.373239885431666	28.41286321721372	28.375653344021295	29.087220704352	29.000661790374416	40.1179864623925	36.12148973452366	36.62895216057485	29.634300618394356
Ech1.30Zm0.35T00.0500_iTp0.00_baseFe.txt	inf	inf	inf	28.988592356365977	28.730345193160097	28.614118226766585	28.625730606195184	28.579372596566564	28.498445119873985	28.376643892895082	28.57693684020021	28.41466003867935	28.478111858268996	29.212270164648253	29.36382173329421	28.557610228117674	28.58351188998889	28.57621283510499	29.38163553918681	29.271027294116273	40.33869211363919	36.342195385770346	36.84965781182154	29.855006269641045
Ech1.30Zm0.35T00.0600_iTp0.00_baseFe.txt	inf	inf	inf	29.131596964176588	28.860780682197394	28.736251690102016	28.747066105585738	28.69430120134235	28.61565544424183	28.49021386609622	28.69467654443448	28.520851984940386	28.594313385008952	29.374451947083365	29.475358199497258	28.67135963506025	28.70291618875448	28.685694547581058	29.634573030014316	29.504853090547307	40.50262820656827	36.50613147869944	37.013593904750614	30.018942362570122
